,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,41.0,171.0,32.0,32.0,5.0,14.0,11.0,10.0,29.0
1,45.0,163.0,22.0,19.0,23.0,6.0,13.0,18.0,36.0
2,111.0,138.0,20.0,19.0,17.0,5.0,8.0,22.0,4.0
3,97.0,139.0,25.0,3.0,24.0,19.0,20.0,10.0,9.0
4,43.0,152.0,21.0,22.0,18.0,24.0,11.0,32.0,23.0
5,125.0,140.0,29.0,13.0,3.0,7.0,19.0,3.0,6.0
6,88.0,117.0,43.0,29.0,17.0,11.0,9.0,20.0,12.0
7,97.0,150.0,36.0,27.0,2.0,0.0,8.0,23.0,3.0
8,63.0,139.0,34.0,24.0,3.0,17.0,24.0,25.0,16.0
9,57.0,151.0,26.0,26.0,23.0,19.0,13.0,24.0,6.0
10,74.0,140.0,51.0,8.0,23.0,1.0,13.0,3.0,32.0
11,118.0,117.0,26.0,6.0,11.0,8.0,0.0,23.0,36.0
12,40.0,182.0,34.0,7.0,12.0,15.0,20.0,17.0,19.0
13,123.0,122.0,24.0,5.0,17.0,13.0,4.0,25.0,12.0
14,60.0,146.0,46.0,7.0,11.0,22.0,12.0,34.0,8.0
15,86.0,161.0,42.0,30.0,8.0,0.0,0.0,12.0,6.0
16,45.0,211.0,20.0,30.0,1.0,10.0,14.0,1.0,12.0
17,66.0,155.0,27.0,27.0,0.0,20.0,14.0,30.0,7.0
18,51.0,190.0,26.0,0.0,5.0,21.0,23.0,30.0,0.0
19,112.0,71.0,48.0,11.0,15.0,21.0,22.0,26.0,20.0
20,95.0,104.0,48.0,8.0,18.0,20.0,6.0,32.0,14.0
21,100.0,114.0,27.0,11.0,23.0,21.0,4.0,6.0,39.0
22,112.0,66.0,36.0,14.0,21.0,16.0,20.0,34.0,26.0
23,62.0,152.0,32.0,29.0,23.0,16.0,13.0,17.0,1.0
24,65.0,131.0,36.0,28.0,8.0,2.0,4.0,34.0,37.0
25,121.0,107.0,36.0,17.0,20.0,3.0,8.0,29.0,5.0
26,89.0,154.0,41.0,5.0,1.0,9.0,13.0,31.0,1.0
27,118.0,149.0,46.0,0.0,15.0,1.0,10.0,0.0,6.0
28,87.0,119.0,53.0,25.0,13.0,0.0,10.0,30.0,8.0
29,125.0,117.0,35.0,12.0,1.0,15.0,13.0,25.0,2.0
30,59.0,176.0,23.0,8.0,21.0,3.0,24.0,12.0,21.0
31,87.0,110.0,39.0,6.0,20.0,21.0,20.0,11.0,33.0
32,122.0,80.0,52.0,28.0,10.0,9.0,22.0,16.0,6.0
33,125.0,98.0,30.0,20.0,24.0,1.0,21.0,17.0,11.0
34,108.0,127.0,41.0,1.0,17.0,24.0,6.0,0.0,20.0
35,81.0,172.0,37.0,3.0,8.0,0.0,0.0,11.0,34.0
36,101.0,144.0,29.0,7.0,3.0,2.0,9.0,21.0,30.0
37,40.0,169.0,50.0,10.0,14.0,13.0,1.0,29.0,20.0
38,129.0,109.0,54.0,1.0,5.0,11.0,10.0,2.0,24.0
39,126.0,96.0,27.0,28.0,12.0,22.0,16.0,7.0,12.0
40,74.0,116.0,37.0,12.0,16.0,12.0,23.0,33.0,23.0
41,109.0,105.0,49.0,20.0,14.0,3.0,1.0,31.0,14.0
42,50.0,205.0,34.0,31.0,6.0,0.0,7.0,10.0,2.0
43,54.0,128.0,43.0,17.0,12.0,22.0,16.0,24.0,30.0
44,117.0,124.0,27.0,11.0,7.0,24.0,5.0,3.0,28.0
45,102.0,117.0,34.0,32.0,19.0,18.0,2.0,7.0,14.0
46,129.0,136.0,22.0,16.0,16.0,19.0,1.0,5.0,1.0
47,48.0,157.0,36.0,10.0,17.0,20.0,4.0,22.0,32.0
