,CTAB-stock,water-stock,GC-stock,AG-stock,AA-stock,SEEDS-stock
0,416.0,332.0,256.0,83.0,111.0,102.0
1,416.0,347.0,256.0,81.0,98.0,102.0
2,416.0,306.0,256.0,100.0,120.0,102.0
3,416.0,321.0,256.0,103.0,102.0,102.0
4,416.0,331.0,256.0,84.0,111.0,102.0
5,416.0,447.0,256.0,27.0,52.0,102.0
6,416.0,286.0,256.0,150.0,90.0,102.0
7,416.0,308.0,256.0,150.0,68.0,102.0
8,416.0,297.0,256.0,150.0,79.0,102.0
9,416.0,317.0,256.0,125.0,84.0,102.0
10,416.0,341.0,256.0,90.0,95.0,102.0
11,416.0,316.0,256.0,107.0,103.0,102.0
12,416.0,321.0,256.0,129.0,76.0,102.0
13,416.0,321.0,256.0,116.0,89.0,102.0
14,416.0,344.0,256.0,86.0,95.0,102.0
15,416.0,332.0,256.0,92.0,101.0,102.0
16,416.0,381.0,256.0,95.0,50.0,102.0
17,416.0,453.0,256.0,0.0,57.0,102.0
18,416.0,506.0,256.0,0.0,0.0,102.0
19,416.0,307.0,256.0,121.0,98.0,102.0
20,416.0,436.0,256.0,80.0,0.0,102.0
21,416.0,395.0,256.0,121.0,0.0,102.0
22,416.0,370.0,256.0,79.0,76.0,102.0
23,416.0,291.0,256.0,85.0,150.0,102.0
24,416.0,390.0,256.0,0.0,125.0,102.0
25,416.0,287.0,256.0,89.0,150.0,102.0
26,416.0,366.0,256.0,0.0,150.0,102.0
27,416.0,436.0,256.0,0.0,80.0,102.0
28,416.0,398.0,256.0,0.0,118.0,102.0
29,416.0,388.0,256.0,0.0,127.0,102.0
30,416.0,350.0,256.0,110.0,66.0,102.0
31,416.0,364.0,256.0,0.0,150.0,102.0
32,416.0,464.0,256.0,52.0,0.0,102.0
33,416.0,372.0,256.0,37.0,117.0,102.0
34,416.0,364.0,256.0,0.0,150.0,102.0
35,416.0,314.0,256.0,99.0,113.0,102.0
36,416.0,434.0,256.0,23.0,69.0,102.0
37,416.0,455.0,256.0,35.0,37.0,102.0
38,416.0,365.0,256.0,81.0,80.0,102.0
39,416.0,382.0,256.0,0.0,133.0,102.0
