,CTAB-stock,water-stock,GC-stock,AG-stock,AA-stock,SEEDS-stock
0,112.0,108.0,69.0,21.0,12.0,28.0
1,112.0,79.0,69.0,34.0,28.0,28.0
2,112.0,81.0,69.0,19.0,41.0,28.0
3,112.0,91.0,69.0,24.0,26.0,28.0
4,112.0,91.0,69.0,28.0,22.0,28.0
5,112.0,81.0,69.0,34.0,26.0,28.0
6,112.0,104.0,69.0,22.0,15.0,28.0
7,112.0,123.0,69.0,18.0,0.0,28.0
8,112.0,91.0,69.0,24.0,26.0,28.0
9,112.0,92.0,69.0,28.0,21.0,28.0
10,112.0,91.0,69.0,24.0,25.0,28.0
11,112.0,104.0,69.0,23.0,14.0,28.0
12,112.0,120.0,69.0,21.0,0.0,28.0
13,112.0,81.0,69.0,35.0,25.0,28.0
14,112.0,92.0,69.0,29.0,20.0,28.0
15,112.0,59.0,69.0,41.0,41.0,28.0
16,112.0,87.0,69.0,24.0,30.0,28.0
17,112.0,78.0,69.0,35.0,28.0,28.0
18,112.0,114.0,69.0,22.0,5.0,28.0
19,112.0,88.0,69.0,29.0,24.0,28.0
20,112.0,91.0,69.0,21.0,29.0,28.0
21,112.0,67.0,69.0,41.0,33.0,28.0
22,112.0,123.0,69.0,18.0,0.0,28.0
23,112.0,81.0,69.0,19.0,41.0,28.0
24,112.0,79.0,69.0,30.0,32.0,28.0
25,112.0,115.0,69.0,25.0,1.0,28.0
26,112.0,101.0,69.0,25.0,15.0,28.0
27,112.0,108.0,69.0,2.0,31.0,28.0
28,112.0,88.0,69.0,17.0,35.0,28.0
29,112.0,93.0,69.0,30.0,18.0,28.0
30,112.0,129.0,69.0,12.0,0.0,28.0
31,112.0,108.0,69.0,24.0,9.0,28.0
32,112.0,77.0,69.0,41.0,23.0,28.0
33,112.0,106.0,69.0,20.0,16.0,28.0
34,112.0,93.0,69.0,29.0,19.0,28.0
35,112.0,117.0,69.0,24.0,0.0,28.0
36,112.0,72.0,69.0,41.0,28.0,28.0
37,112.0,79.0,69.0,21.0,41.0,28.0
38,112.0,59.0,69.0,41.0,41.0,28.0
39,112.0,75.0,69.0,33.0,33.0,28.0
0,112.0,87.0,69.0,34.0,20.0,28.0
